"filename", "language", "TypeScript", "HTML", "JavaScript", "Svelte", "PostCSS", "comment", "blank", "total"
"c:\Andrew\Personal Dev\Svelte\Atlas\src\app.css", "PostCSS", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Andrew\Personal Dev\Svelte\Atlas\src\app.d.ts", "TypeScript", 5, 0, 0, 0, 0, 7, 2, 14
"c:\Andrew\Personal Dev\Svelte\Atlas\src\app.html", "HTML", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\cli\cliParser.ts", "TypeScript", 15, 0, 0, 0, 0, 7, 7, 29
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\cli\cliStore.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 8, 43
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\cli\spacesCliHandler.ts", "TypeScript", 95, 0, 0, 0, 0, 13, 3, 111
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\ActivityBar.svelte", "Svelte", 0, 0, 0, 20, 0, 0, 3, 23
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\ConfirmModal.svelte", "Svelte", 0, 0, 0, 47, 0, 0, 5, 52
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\EntityPropertiesPanel.svelte", "Svelte", 0, 0, 0, 57, 0, 0, 11, 68
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\FooterBar.svelte", "Svelte", 0, 0, 0, 17, 0, 0, 2, 19
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\Header.svelte", "Svelte", 0, 0, 0, 18, 0, 0, 3, 21
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\HeaderBar.svelte", "Svelte", 0, 0, 0, 22, 0, 0, 2, 24
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\LoginModal.svelte", "Svelte", 0, 0, 0, 66, 0, 0, 5, 71
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\MainLayout.svelte", "Svelte", 0, 0, 0, 5, 0, 7, 2, 14
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\ProjectList.svelte", "Svelte", 0, 0, 0, 41, 0, 0, 3, 44
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\ProjectsPropertiesForm.svelte", "Svelte", 0, 0, 0, 60, 0, 0, 4, 64
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\SearchPanel.svelte", "Svelte", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Andrew\Personal Dev\Svelte\Atlas\src\lib\components\SettingsPanel.svelte", "Svelte", 0, 0, 0, 6, 0, 0, 2, 8
